165.000000	166.000000	0.524326
166.000000	167.000000	0.524178
167.000000	168.000000	0.524038
168.000000	169.000000	0.523907
169.000000	170.000000	0.523784
170.000000	171.000000	0.523668
171.000000	172.000000	0.523561
172.000000	173.000000	0.523463
173.000000	174.000000	0.523372
174.000000	175.000000	0.523289
175.000000	176.000000	0.523214
176.000000	177.000000	0.523147
177.000000	178.000000	0.523087
178.000000	179.000000	0.523033
179.000000	180.000000	0.522988
180.000000	181.000000	0.522950
181.000000	182.000000	0.522920
182.000000	183.000000	0.522897
183.000000	184.000000	0.522881
184.000000	185.000000	0.522872
185.000000	186.000000	0.522871
186.000000	187.000000	0.522875
187.000000	188.000000	0.522875
188.000000	189.000000	0.522875
189.000000	190.000000	0.522875
190.000000	191.000000	0.522875
191.000000	192.000000	0.522875
192.000000	193.000000	0.522875
193.000000	194.000000	0.522875
194.000000	195.000000	0.522875
195.000000	196.000000	0.522875
196.000000	197.000000	0.522875
197.000000	198.000000	0.522875
198.000000	199.000000	0.522875
199.000000	200.000000	0.522875
200.000000	201.000000	0.522875
201.000000	202.000000	0.522875
202.000000	203.000000	0.522875
203.000000	204.000000	0.522875
204.000000	205.000000	0.522875
205.000000	206.000000	0.522875
206.000000	207.000000	0.522875
207.000000	208.000000	0.522875
208.000000	209.000000	0.522875
209.000000	210.000000	0.522875
210.000000	211.000000	0.522875
211.000000	212.000000	0.522875
212.000000	213.000000	0.522875
213.000000	214.000000	0.522875
214.000000	215.000000	0.522875
215.000000	216.000000	0.522875
216.000000	217.000000	0.522875
217.000000	218.000000	0.522875
218.000000	219.000000	0.522875
219.000000	220.000000	0.522875
220.000000	221.000000	0.522875
221.000000	222.000000	0.522875
222.000000	223.000000	0.522875
223.000000	224.000000	0.522875
224.000000	225.000000	0.522875
225.000000	226.000000	0.522875
226.000000	227.000000	0.522875
227.000000	228.000000	0.522875
228.000000	229.000000	0.522875
229.000000	230.000000	0.522875
230.000000	231.000000	0.522875
231.000000	232.000000	0.522875
232.000000	233.000000	0.522875
233.000000	234.000000	0.522875
234.000000	235.000000	0.522875
235.000000	236.000000	0.522875
236.000000	237.000000	0.522875
237.000000	238.000000	0.522875
238.000000	239.000000	0.522875
239.000000	240.000000	0.522875
240.000000	241.000000	0.522875
241.000000	242.000000	0.522875
242.000000	243.000000	0.522875
243.000000	244.000000	0.522875
244.000000	245.000000	0.522875
245.000000	246.000000	0.522875
246.000000	247.000000	0.522875
247.000000	248.000000	0.522875
248.000000	249.000000	0.522875
249.000000	250.000000	0.522875
